"ruleCode","severity","title","url","status"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/fiction_10/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/fiction_10/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/fiction_10/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/religion_12/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/religion_12/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/religion_12/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/music_14/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/music_14/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/music_14/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/parenting_28/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/parenting_28/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/parenting_28/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/psychology_26/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/psychology_26/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/psychology_26/index.html","OPEN"
