"ruleCode","severity","title","url","status"
"META_DESCRIPTION_MISSING","WARNING","Meta description is missing","https://books.toscrape.com","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com","OPEN"
"TITLE_DUPLICATE","WARNING","Duplicate title tag","https://books.toscrape.com/index.html","OPEN"
"META_DESCRIPTION_MISSING","WARNING","Meta description is missing","https://books.toscrape.com/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/classics_6/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/classics_6/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/classics_6/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/travel_2/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/travel_2/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/travel_2/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/mystery_3/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/mystery_3/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/mystery_3/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books_1/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books_1/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books_1/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://books.toscrape.com/catalogue/category/books/romance_8/index.html","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://books.toscrape.com/catalogue/category/books/romance_8/index.html","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://books.toscrape.com/catalogue/category/books/romance_8/index.html","OPEN"
