"ruleCode","severity","title","url","status"
"TITLE_TOO_SHORT","WARNING","Title tag is too short","http://localhost:5001/this-does-not-exist","OPEN"
"META_DESCRIPTION_MISSING","WARNING","Meta description is missing","http://localhost:5001/this-does-not-exist","OPEN"
"H1_MISSING","WARNING","H1 tag is missing","http://localhost:5001/this-does-not-exist","OPEN"
"HEADING_STRUCTURE","INFO","Poor heading structure","http://localhost:5001/this-does-not-exist","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","http://localhost:5001/this-does-not-exist","OPEN"
"BROKEN_LINK","CRITICAL","Broken link (404)","http://localhost:5001/this-does-not-exist","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","http://localhost:5001/canonical-missing","OPEN"
"TITLE_MISSING","CRITICAL","Title tag is missing","http://localhost:5001/redirect-chain-1","OPEN"
"META_DESCRIPTION_MISSING","WARNING","Meta description is missing","http://localhost:5001/redirect-chain-1","OPEN"
"H1_MISSING","WARNING","H1 tag is missing","http://localhost:5001/redirect-chain-1","OPEN"
"HEADING_STRUCTURE","INFO","Poor heading structure","http://localhost:5001/redirect-chain-1","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","http://localhost:5001/redirect-chain-1","OPEN"
"REDIRECT_CHAIN","WARNING","Redirect chain","http://localhost:5001/redirect-chain-1","OPEN"
"TITLE_MISSING","CRITICAL","Title tag is missing","http://localhost:5001/redirect-chain-2","OPEN"
"META_DESCRIPTION_MISSING","WARNING","Meta description is missing","http://localhost:5001/redirect-chain-2","OPEN"
"H1_MISSING","WARNING","H1 tag is missing","http://localhost:5001/redirect-chain-2","OPEN"
"HEADING_STRUCTURE","INFO","Poor heading structure","http://localhost:5001/redirect-chain-2","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","http://localhost:5001/redirect-chain-2","OPEN"
"REDIRECT_CHAIN","WARNING","Redirect chain","http://localhost:5001/redirect-chain-2","OPEN"
"TITLE_MISSING","CRITICAL","Title tag is missing","http://localhost:5001/title-missing","OPEN"
"TITLE_TOO_LONG","WARNING","Title tag is too long","http://localhost:5001/title-too-long","OPEN"
"TITLE_TOO_SHORT","WARNING","Title tag is too short","http://localhost:5001/title-too-short","OPEN"
"TITLE_TOO_SHORT","WARNING","Title tag is too short","http://localhost:5001/title-duplicate-2","OPEN"
"TITLE_DUPLICATE","WARNING","Duplicate title tag","http://localhost:5001/title-duplicate-2","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","http://localhost:5001/meta-desc-too-short","OPEN"
"TITLE_TOO_SHORT","WARNING","Title tag is too short","http://localhost:5001/title-duplicate-1","OPEN"
"TITLE_DUPLICATE","WARNING","Duplicate title tag","http://localhost:5001/title-duplicate-1","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","http://localhost:5001/clean","OPEN"
"META_DESCRIPTION_TOO_LONG","WARNING","Meta description is too long","http://localhost:5001/meta-desc-too-long","OPEN"
"META_DESCRIPTION_MISSING","WARNING","Meta description is missing","http://localhost:5001/meta-desc-missing","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","http://localhost:5001/meta-desc-duplicate-1","OPEN"
"H1_MULTIPLE","INFO","Multiple H1 tags found","http://localhost:5001/h1-multiple","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","http://localhost:5001/meta-desc-duplicate-2","OPEN"
"H1_MISSING","WARNING","H1 tag is missing","http://localhost:5001/h1-missing","OPEN"
"TITLE_TOO_SHORT","WARNING","Title tag is too short","http://localhost:5001/h1-missing","OPEN"
"HEADING_STRUCTURE","INFO","Poor heading structure","http://localhost:5001/h1-missing","OPEN"
"H1_MISSING","WARNING","H1 tag is missing","http://localhost:5001/heading-structure","OPEN"
"HEADING_STRUCTURE","INFO","Poor heading structure","http://localhost:5001/heading-structure","OPEN"
"IMAGE_MISSING_ALT","WARNING","Images missing alt attribute","http://localhost:5001/image-missing-alt","OPEN"
"ROBOTS_NOINDEX","WARNING","Page is blocked from indexing","http://localhost:5001/robots-noindex","OPEN"
"SCHEMA_ERROR","WARNING","Schema markup error","http://localhost:5001/schema-error","OPEN"
