"ruleCode","severity","title","url","status"
"META_DESCRIPTION_TOO_LONG","WARNING","Meta description is too long","https://naturals.in","OPEN"
"IMAGE_MISSING_ALT","WARNING","Images missing alt attribute","https://naturals.in","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://naturals.in","OPEN"
"TITLE_TOO_LONG","WARNING","Title tag is too long","https://naturals.in/services/Hair/","OPEN"
"META_DESCRIPTION_TOO_LONG","WARNING","Meta description is too long","https://naturals.in/services/Hair/","OPEN"
"H1_MULTIPLE","INFO","Multiple H1 tags found","https://naturals.in/services/Hair/","OPEN"
"IMAGE_MISSING_ALT","WARNING","Images missing alt attribute","https://naturals.in/services/Hair/","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://naturals.in/services/Hair/","OPEN"
"TITLE_TOO_LONG","WARNING","Title tag is too long","https://naturals.in/FRANCHISE/index.html#enquiry-now-container","OPEN"
"META_DESCRIPTION_TOO_LONG","WARNING","Meta description is too long","https://naturals.in/FRANCHISE/index.html#enquiry-now-container","OPEN"
"H1_MULTIPLE","INFO","Multiple H1 tags found","https://naturals.in/FRANCHISE/index.html#enquiry-now-container","OPEN"
"IMAGE_MISSING_ALT","WARNING","Images missing alt attribute","https://naturals.in/FRANCHISE/index.html#enquiry-now-container","OPEN"
"TITLE_TOO_LONG","WARNING","Title tag is too long","https://naturals.in/services/skin/","OPEN"
"META_DESCRIPTION_TOO_LONG","WARNING","Meta description is too long","https://naturals.in/services/skin/","OPEN"
"H1_MULTIPLE","INFO","Multiple H1 tags found","https://naturals.in/services/skin/","OPEN"
"IMAGE_MISSING_ALT","WARNING","Images missing alt attribute","https://naturals.in/services/skin/","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://naturals.in/services/skin/","OPEN"
"TITLE_TOO_LONG","WARNING","Title tag is too long","https://naturals.in/services/Body/","OPEN"
"META_DESCRIPTION_TOO_LONG","WARNING","Meta description is too long","https://naturals.in/services/Body/","OPEN"
"H1_MULTIPLE","INFO","Multiple H1 tags found","https://naturals.in/services/Body/","OPEN"
"IMAGE_MISSING_ALT","WARNING","Images missing alt attribute","https://naturals.in/services/Body/","OPEN"
"CANONICAL_MISSING","INFO","Canonical URL is missing","https://naturals.in/services/Body/","OPEN"
